ID,观察项目,皮肤,玩法和输入,预期,状态,版本与设备,结论与证据
C7-01,初次启动,简洁款,BMS和mania,无自定义皮肤时外观完整清楚且可进入谱面,待验,,
C7-02,导入选择导出再导入,两款与第三方,普通皮肤包,可从普通入口导入导出并选择；重新导入不丢组件,待验,,
C7-03,五键全样式,两款与第三方,BMS5K四种样式,短键长条左右皿布局和必要信息均清楚,待验,,
C7-04,七键全样式,两款与第三方,BMS7K四种样式,短键长条左右皿布局和必要信息均清楚,待验,,
C7-05,九键两格式,两款与第三方,BMS9K和PMS9K,九轨和中央特殊键不串位,待验,,
C7-06,双舞台,两款与第三方,BMS14K,两侧皿和双舞台无重叠；中间空隙及视频区域正确,待验,,
C7-07,单舞台全部键数,两款与第三方,mania1至10K,每轨短键长条按键判定清楚；奇数中心键正确,待验,,
C7-08,原生双舞台键数,两款与第三方,mania12/14/16/18K,两侧舞台和必要信息完整；中心间隙正确；原生谱面读取上限18K,待验,,
C7-09,窄屏宽屏缩放,两款与第三方,4:3/16:9/21:9及100/150/200%,无遮挡和裁切；文字和音符清楚,待验,,
C7-10,视频区域,两款与第三方,BMS观察视频及真实BGA谱,视频限于允许区域且必要信息可读,待验,,
C7-11,普通短键原验收,V-001输入,BMS7K,连续编号帧和切换坏包回落；按原清单逐项记录,未签收,,
C7-12,长条头原验收,V-002输入,BMS7K和14K,静态动画和两皿长条头正确；坏头补齐,未签收,,
C7-13,长条尾原验收,V-003输入,BMS7K和14K,尾部不串到头身；坏尾按完整声明与正式保底回落,未签收,,
C7-14,长条身原验收,V-004输入,BMS7K和14K,宽度随同一包更新；按住失手恢复状态不闪错,未签收,,
C7-15,组合效果原验收,V-005 Momentum,BMS和mania,原候选按原清单验证；不以C7复杂款替代签收,未签收,,
C7-16,复杂款未授权拒绝,复杂款,BMS和mania,未授权和拒绝后仍完整清楚可玩,待验,,
C7-17,复杂款允许撤销,复杂款,BMS和mania,连击能量和击打产生协调组合；撤销后继续可玩,待验,,
C7-18,暂停重试,复杂款,BMS和mania,暂停不偷跑演出；暂停撤销生效；重试无旧历史残留,待验,,
C7-19,三种来源与更新,两款及作者练习,普通导入/游戏目录/作者外部目录,菜单更新成功；游玩预览拒绝更新；重启保留选择,待验,,
C7-20,更新坏包与缺件,第三方及两款,BMS和mania,坏更新保留原包；必要部分补齐；明确关闭装饰不被恢复,待验,,
C7-21,删除取消登记,两款及第三方,删除当前导入包或取消作者目录登记,切回完整简洁款；外部原文件不被修改,待验,,
C7-22,工作副本损坏恢复,简洁款,专用验收副本,工作副本可从随包原件完整恢复,待验,,
C7-23,安装原件缺失损坏,简洁款,专用验收副本,提示修复安装且阻止进入谱面；恢复安装后可玩,待验,,
C7-24,遗留用户皮肤与中断,旧数据副本,有已有皮肤和遗留操作的备份根,用户内容保全；无法确认的旧数据有修复指引,待验,,
C7-25,便携覆盖,两款,app便携副本,退出后更新；模式皮肤谱面设置保持,待验,,
C7-26,自定义保存位置覆盖,两款,app-custom和custom-data,保存位置保持；基础目录storage.ini保留,待验,,
C7-27,非便携冷启动与覆盖,两款,专用Windows账户或虚拟机,无便携标记；默认基础目录及原storage.ini保持,待验,,
C7-28,作者完整练习,作者练习包,修改检查打包导入验证,无需阅读源码；错误能定位；修复后两种玩法可用,待验,,
C7-29,低端设备高密度,复杂款,低端Windows及高密度真实谱面,效果可选且不会影响基本游玩清晰度或持续卡顿,待验,,
C7-30,长时间与真实设备,两款,真实控制器和长谱反复暂停重试,长时间稳定；无不断增长资源或输入体验退化,待验,,
C7-31,整体美术与默认候选,两款,BMS和mania,简洁款克制完整；复杂款协调完整且演出有层次,待验,,
C7-32,短键和长条声音,两款与Aurora,mania观察谱及真实有声BMS谱,击打和长条持续音可听；暂停停止；恢复重试无遗留声；不以静音BMS输入代签,待验,,
